origin_cbg,destination_cbg,trips
370810126101,371570412004,437
371570408001,371570404003,14
515900012002,371570405023,39
370810159013,371570410012,205
371939607001,371570413004,153
371570411006,371570410012,534
516900002001,371570404004,43
370810127051,371570415023,181
371570404003,371570405013,7237
370810155001,371570415022,164
370810103002,371570415021,1015
370670029041,371570415021,117
371570408001,371570409003,8433
515900013011,371570412003,179
371570415023,371570409002,164
370010215002,371570411001,43
515900014001,371570415022,35
371570409002,371570410023,1207
370810156023,371570403001,351
370810110002,371570403001,157
370810158003,371570406023,25
371570405021,371570403002,4826
371570406022,371570416012,350
510890105002,371570404004,154
370810116013,371570408001,86
370810108003,371570413004,96
370339305003,371570414003,182
370810103002,371570405023,49
370810126071,371570406023,95
370810126101,371570412003,640
370810162012,371570405023,29
371570411002,371570414002,772
371570402003,371570412001,28
370810111021,371570406023,158
370010208011,371570416012,34
370810156011,371570405021,28
370670019011,371570410012,57
511610307011,371570410012,59
371570401023,371570406023,40
551091210002,371570413004,41
371570407002,371570409001,1085
371570416012,371570416023,64
516900001002,371570406011,482
510890106012,371570410021,785
371570415023,371570404004,335
516800002051,371570413004,160
370339301001,371570415021,31
511410303022,371570408001,288
370810126101,371570413004,68
371510313041,371570410023,40
371570407002,371570412001,190
371570403001,371570404003,2001
370810156022,371570412001,209
371570411006,371570406023,551
371570405022,371570409001,347
370810159012,371570405023,20
371570411005,371570415023,771
370810127061,371570415022,186
371570408001,371570410011,1080
371690705062,371570403003,143
371570410021,371570415023,763
510890106021,371570404004,43
371570407003,371570410021,782
370810125113,371570403001,96
371459202002,371570414001,51
371570415023,371570415011,3135
370810164051,371570410021,143
371570412003,371570412004,4794
371570414002,371570412001,1922
515900012002,371570403003,1071
370670030032,371570415021,66
371570402001,371570412004,231
510670208021,371570410021,71
371570403001,371570416023,54
370810159022,371570408001,504
371570405011,371570406023,1559
511430104003,371570412003,277
371570406013,371570403001,3918
371570401022,371570413001,248
110010101001,371570416021,49
371570402001,371570409001,98
370810104031,371570415023,243
371570407002,371570406023,6883
371690702003,371570403003,296
371570411006,371570411006,792
371570405023,371570413004,162
370670022002,371570403001,115
371570407003,371570410023,951
370010201002,371570412003,99
371570406013,371570404004,650
371570412001,371570403003,5053
371570402003,371570411006,64
371570412003,371570414002,1583
370010215001,371570412003,372
515900009001,371570403001,81
371570403002,371570404004,2783
370339304001,371570414003,457
370339304001,371570411001,174
371570401022,371570401021,191
370339305002,371570403001,530
371570415022,371570412004,8797
371570415022,371570408001,748
370810156021,371570406011,158
371570410022,371570406012,39
370810158001,371570403001,213
371590505003,371570413004,40
370810119053,371570414001,352
371570402001,371570406023,1103
371570402003,371570415021,1381
371570403001,371570415022,240
