origin_county,trips
Bullitt County,1517.0
San Bernardino County,1495.0
Marquette County,1487.0
McMinn County,1485.0
Grand County,1468.0
St. Tammany Parish,1465.0
Ingham County,1461.0
Banks County,1443.0
Cape May County,1443.0
Penobscot County,1429.0
Buchanan County,1427.0
Williamsburg County,1412.0
East Baton Rouge Parish,1398.0
Dawson County,1396.0
Allegan County,1390.0
Logan County,1383.0
Ashtabula County,1382.0
Eaton County,1375.0
Sandusky County,1356.0
Crawford County,1356.0
Tulsa County,1354.0
Appomattox County,1341.0
Saratoga County,1331.0
Denton County,1329.0
Poquoson city,1324.0
Laclede County,1314.0
Gordon County,1312.0
Blair County,1309.0
Cass County,1306.0
Meigs County,1300.0
Cabell County,1284.0
Liberty County,1282.0
Emanuel County,1282.0
Abbeville County,1278.0
Geauga County,1273.0
Laurel County,1265.0
Chemung County,1251.0
Butts County,1245.0
Gallatin County,1244.0
Christian County,1234.0
Bell County,1224.0
Maury County,1215.0
Walker County,1214.0
Chattooga County,1210.0
Lowndes County,1206.0
Winnebago County,1196.0
Lewis County,1173.0
St. Charles County,1165.0
Hart County,1161.0
Howard County,1153.0
Teton County,1152.0
Kerr County,1147.0
St. Louis city,1133.0
Warrick County,1131.0
Prince Edward County,1128.0
DeSoto County,1113.0
Tioga County,1095.0
Tompkins County,1093.0
Radford city,1092.0
Anoka County,1087.0
Fredericksburg city,1086.0
Passaic County,1082.0
Rensselaer County,1082.0
Muscogee County,1075.0
Kalamazoo County,1074.0
Livingston Parish,1065.0
Seneca County,1063.0
Ionia County,1051.0
Orleans County,1037.0
Kenosha County,1032.0
Iberia Parish,1028.0
Mason County,1022.0
Accomack County,1021.0
Platte County,1015.0
Grainger County,1014.0
Elbert County,1008.0
Ramsey County,1007.0
Tipton County,994.0
Will County,987.0
Hendricks County,982.0
Nelson County,977.0
Augusta County,969.0
Kendall County,957.0
Kimble County,956.0
Centre County,950.0
Ohio County,948.0
Barnwell County,941.0
Giles County,936.0
Mifflin County,935.0
Honolulu County,934.0
San Francisco County,930.0
Plymouth County,928.0
Schuyler County,910.0
Roane County,908.0
Lycoming County,906.0
Citrus County,903.0
Riverside County,896.0
Russell County,889.0
Bradford County,886.0
Greenup County,876.0
Troup County,874.0
San Juan County,869.0
Fond du Lac County,866.0
Pickaway County,839.0
Linn County,833.0
Woodford County,832.0
Ford County,829.0
Kankakee County,829.0
Grant County,828.0
Boyd County,815.0
Olmsted County,811.0
San Joaquin County,807.0
Armstrong County,806.0
Carson City,805.0
Dodge County,801.0
Neshoba County,793.0
Chenango County,790.0
Bernalillo County,785.0
Lunenburg County,784.0
Webb County,783.0
Tallapoosa County,779.0
Prince George's County,778.0
Winchester city,766.0
Allegany County,764.0
Lafayette County,753.0
Flathead County,747.0
Oswego County,744.0
Oldham County,743.0
Decatur County,741.0
Talladega County,735.0
Minnehaha County,733.0
Weld County,733.0
Tuscarawas County,732.0
Daviess County,731.0
Guernsey County,728.0
Ouachita Parish,722.0
Lincoln Parish,709.0
Jenkins County,703.0
Spencer County,695.0
Page County,695.0
Grady County,693.0
Perry County,692.0
Manassas city,690.0
Belmont County,683.0
Wise County,683.0
Calcasieu Parish,680.0
Vanderburgh County,669.0
McIntosh County,667.0
Switzerland County,663.0
Dickinson County,661.0
Grand Traverse County,657.0
Lapeer County,646.0
Crisp County,645.0
Caddo Parish,629.0
Parke County,628.0
Hays County,627.0
Marshall County,625.0
Dougherty County,624.0
Sacramento County,619.0
Ross County,614.0
Goochland County,612.0
Charlottesville city,609.0
Mono County,606.0
Rankin County,604.0
Stone County,601.0
Dickson County,601.0
Cambria County,591.0
Calloway County,591.0
Scioto County,590.0
Nottoway County,588.0
Alpena County,586.0
Schenectady County,583.0
Rock County,575.0
Carver County,573.0
St. Francois County,566.0
Staunton city,563.0
Collin County,562.0
Gibson County,558.0
Huron County,557.0
Okeechobee County,556.0
Van Wert County,555.0
Schoharie County,551.0
Faulkner County,543.0
Fort Bend County,541.0
Baker County,534.0
Newport County,534.0
Summers County,529.0
Simpson County,528.0
Forrest County,526.0
Champaign County,517.0
Pima County,506.0
Haralson County,499.0
Nicholas County,493.0
Benton County,493.0
Irwin County,492.0
Petersburg city,490.0
Hardee County,486.0
Williams County,481.0
Merrimack County,481.0
Tuscaloosa County,478.0
Pike County,476.0
Tippecanoe County,469.0
Stearns County,469.0
Hampshire County,465.0
Pinal County,463.0
Fluvanna County,449.0
Wichita County,447.0
Gillespie County,446.0
Contra Costa County,444.0
Caledonia County,441.0
Thomas County,441.0
McCracken County,439.0
Bristol city,437.0
Kennebec County,435.0
Autauga County,434.0
Amelia County,433.0
Mower County,429.0
Woodbury County,429.0
Aroostook County,427.0
Weber County,426.0
Napa County,425.0
Elmore County,424.0
Kittitas County,423.0
Cache County,423.0
Wyoming County,422.0
Lackawanna County,417.0
Rapides Parish,417.0
Murray County,416.0
Casey County,414.0
McKinley County,412.0
Pennington County,411.0
Cortland County,410.0
Wakulla County,401.0
Smith County,400.0
Story County,400.0
Pueblo County,397.0
Wright County,397.0
Wheeler County,394.0
Branch County,393.0
Fergus County,390.0
Solano County,389.0
Mills County,388.0
Sequatchie County,387.0
Chaffee County,381.0
Darke County,381.0
Sheboygan County,380.0
Monongalia County,375.0
Braxton County,369.0
Rappahannock County,366.0
Coconino County,365.0
Spalding County,365.0
Harlan County,362.0
Ventura County,360.0
Cayuga County,360.0
Barbour County,356.0
Coshocton County,356.0
Limestone County,355.0
Jessamine County,351.0
Hidalgo County,346.0
Starke County,344.0
Larimer County,342.0
Appling County,341.0
Green County,335.0
Zapata County,333.0
Hopewell city,332.0
Beaver County,332.0
St. Mary's County,325.0
Yankton County,323.0
Oglethorpe County,318.0
Brooke County,318.0
Ashland County,317.0
Osage County,315.0
Sandoval County,314.0
Phelps County,313.0
Cape Girardeau County,311.0
O'Brien County,310.0
Ozaukee County,307.0
Carbon County,302.0
Otsego County,302.0
Barry County,301.0
McDonald County,299.0
Arapahoe County,297.0
Doña Ana County,297.0
Placer County,296.0
Boulder County,295.0
Ware County,295.0
Pettis County,295.0
Tooele County,294.0
Meade County,293.0
Bath County,291.0
Comal County,291.0
McDuffie County,289.0
Broomfield County,288.0
Snohomish County,288.0
Dale County,288.0
Fairfax city,286.0
Hardy County,285.0
Ripley County,285.0
Cullman County,284.0
Midland County,282.0
Susquehanna County,279.0
Pearl River County,279.0
Stanislaus County,279.0
Nantucket County,278.0
Cheshire County,277.0
Thurston County,277.0
Grundy County,274.0
Letcher County,271.0
Sanilac County,268.0
Ontario County,267.0
Gulf County,263.0
Vermilion County,263.0
Bolivar County,262.0
Wyandotte County,260.0
Routt County,259.0
Wagoner County,257.0
Hinds County,257.0
Laramie County,256.0
Lyon County,256.0
Maui County,255.0
Northumberland County,255.0
Terrebonne Parish,252.0
Ste. Genevieve County,252.0
Upson County,246.0
Twiggs County,246.0
Eagle County,244.0
Toombs County,243.0
Pottawattamie County,241.0
Lauderdale County,240.0
Bland County,240.0
Galveston County,238.0
Berkshire County,238.0
Tangipahoa Parish,236.0
St. Croix County,235.0
Howell County,234.0
Cooper County,233.0
Harford County,230.0
Meriwether County,230.0
Meeker County,229.0
Athens County,227.0
Elk County,226.0
Garfield County,225.0
Rockwall County,224.0
Dade County,219.0
Gallia County,218.0
Montcalm County,217.0
Newaygo County,217.0
Mineral County,214.0
Talbot County,214.0
Falls Church city,214.0
Muskogee County,211.0
Sangamon County,210.0
Anchorage Municipality,207.0
Hocking County,204.0
Palo Pinto County,204.0
San Miguel County,203.0
Taney County,201.0
Charles City County,201.0
Hockley County,198.0
Webster Parish,198.0
Cheatham County,197.0
Bamberg County,196.0
Callaway County,196.0
Brazos County,195.0
Holmes County,194.0
Ada County,193.0
Barren County,192.0
Grafton County,189.0
Columbiana County,188.0
Treutlen County,185.0
Potter County,183.0
Tattnall County,182.0
Pope County,181.0
Hickman County,181.0
Peach County,180.0
Emmet County,180.0
Union Parish,179.0
Chase County,179.0
Iron County,175.0
Sarpy County,175.0
Edgar County,173.0
Coos County,171.0
Shiawassee County,170.0
Leavenworth County,168.0
Muhlenberg County,167.0
Buena Vista city,162.0
Yavapai County,161.0
Santa Barbara County,159.0
Nueces County,158.0
Indiana County,158.0
Yellowstone County,156.0
Porter County,155.0
Angelina County,151.0
Marathon County,150.0
Santa Clara County,148.0
Hopkins County,148.0
Etowah County,146.0
Walworth County,144.0
Clinch County,141.0
Jennings County,140.0
Lafayette Parish,139.0
Gregg County,138.0
Morrow County,137.0
Iosco County,137.0
Waller County,136.0
Otter Tail County,136.0
Allendale County,136.0
Macoupin County,132.0
Preston County,131.0
Sweetwater County,129.0
Shawnee County,128.0
Chambers County,127.0
Peoria County,126.0
Yakima County,123.0
Trimble County,123.0
Pine County,123.0
Wabash County,122.0
Hillsdale County,122.0
Mendocino County,122.0
Colquitt County,120.0
Todd County,120.0
Geneva County,120.0
Davison County,119.0
Payne County,119.0
Coosa County,118.0
Oxford County,117.0
Oktibbeha County,113.0
Box Elder County,113.0
Upshur County,113.0
Baltimore County,113.0
Benzie County,111.0
Cascade County,111.0
Gratiot County,111.0
Le Sueur County,110.0
Crockett County,110.0
Craig County,108.0
Buckingham County,108.0
Pitkin County,107.0
Baraga County,107.0
West Baton Rouge Parish,106.0
Steele County,106.0
Vigo County,105.0
La Plata County,105.0
Preble County,104.0
Audrain County,104.0
Shawano County,103.0
Waushara County,103.0
Chattahoochee County,103.0
Terrell County,102.0
East Feliciana Parish,102.0
Multnomah County,102.0
Covington County,101.0
Rush County,101.0
Bacon County,100.0
Screven County,100.0
Larue County,98.0
Van Zandt County,98.0
Eau Claire County,96.0
Lexington city,96.0
McPherson County,91.0
Anne Arundel County,90.0
Keokuk County,90.0
Crittenden County,89.0
Graves County,89.0
Yuba County,88.0
McLennan County,88.0
