destination_name,trips
"AMC Entertainment Holdings, Inc.",95957.0
All Other Specialty Food Stores,95924.0
"Popeyes Louisiana Kitchen, Inc.",94218.0
"Movado Group, Inc.",93843.0
Blakeney,93805.0
Roses Discount Store,93413.0
Applebee's,93300.0
Automotive Parts and Accessories Stores,90493.0
Coin-Operated Laundries and Drycleaners,90190.0
"BJ's Wholesale Club, Inc.",90172.0
Spectrum Center,89589.0
Black Creek Group,89262.0
"Beer, Wine, and Liquor Stores",88907.0
Papa John's International Inc.,88653.0
Regal Entertainment Group,87785.0
"H&R Block, Inc.",86583.0
"Big Lots, Inc.",86223.0
Courtyard by Marriott,85527.0
Men's Clothing Stores,85509.0
Piggly Wiggly Inc.,85191.0
"Budget Rent a Car System, Inc.",84274.0
Rack Room Shoes,84029.0
"Whole Foods Market, Inc.",83308.0
7 Brew,83197.0
Refuel Market,82633.0
AT&T Inc.,82230.0
Great Clips,81294.0
Bath & Body Works,81194.0
DairiO,81170.0
Chevrolet,80809.0
Love's Travel Stops & Country Stores,80604.0
Ford Motor Co.,80214.0
"Hertz Global Holdings, Inc.",79628.0
Optical Goods Stores,79160.0
Household Appliance Stores,78972.0
Fairfield Inn & Suites by Marriott,78855.0
Lidl,77974.0
Harrah's,77638.0
Trader Joe's Company,77577.0
Elon University,75436.0
Carlie C's IGA,75243.0
"Shoe Show, INC.",74993.0
Tropical Smoothie Cafe,74908.0
"Highwoods Properties, Inc.",74885.0
"Spirit Realty Capital, Inc.",74003.0
Quality,73973.0
"United Parcel Service,  Inc.",73793.0
Briggs & Stratton Corporation,73735.0
All Other Home Furnishings Stores,73477.0
Automotive Glass Replacement Shops,73187.0
Mid-America Apartment Communities,72796.0
"PNC Financial Services Group, I",72730.0
MOREHEAD CITY,72614.0
DLC Management,72442.0
Central Piedmont Community College,71666.0
Zips Car Wash LLC,70677.0
"Dillard's, Inc.",70310.0
GameStop Corp.,69198.0
7-Eleven Store,68528.0
"Ollie's Bargain Outlet Holdings, Inc.",68011.0
Toyota Motor Corporation,67883.0
"Waffle House, Inc.",67141.0
Burkes Outlet,66932.0
National Automotive Parts Association,66552.0
Pandora A/S,66533.0
Agway,65643.0
"Macy's, Inc.",65491.0
Ventas Inc,65305.0
"J. C. Penney Company, Inc.",64986.0
Embassy Suites Hotels,64938.0
Five Guys Enterprises LLC,64883.0
North Hills North Carolina,64737.0
"Moe's Southwest Grill, LLC",64532.0
"Krispy Kreme, Inc",64304.0
Tidal Wave Auto Spa,64233.0
"Edward D. Jones & Co., L.P.",64210.0
Hilton Garden Inn,63782.0
H & M Hennes & Mauritz AB,63173.0
First Bank,63127.0
Brunswick Bowling & Billiards,63127.0
"Wegmans Food Markets, Inc.",62560.0
Time Warner Cable Inc.,62517.0
Firehouse Subs,62333.0
Winston-Salem State University,61828.0
Wawa,61125.0
The Sherwin-Williams Company,60721.0
"Staples, Inc.",60699.0
Clothing Accessories Stores,60648.0
"Hobby, Toy, and Game Stores",60350.0
Autobell Car Wash,60225.0
Hardware Stores,60041.0
Freightliner Trucks,59393.0
Dodge,59119.0
AutoZone Repair,58750.0
Cape Fear Community College,58527.0
Pineville Town Market,58179.0
Marinas,58075.0
Lennar Corporation,57915.0
"Hwy55 Burgers, Shakes & Fries",57743.0
Handy Mart,57737.0
i9 Sports,57734.0
First National Bank F.N.B.,57598.0
Mooresville Consumer Square,57460.0
Chrysler,57420.0
Shoe Stores,57411.0
"Health Mart Systems, Inc.",57121.0
Cato Corporation (The),56642.0
BP - BP,56370.0
Scotchman,55472.0
Mattress Firm Holding Corp.,55307.0
DoubleTree by Hilton,55008.0
Fine Arts Schools,54944.0
Washington Prime Group Inc.,54607.0
Logan's Roadhouse,54600.0
"Culver Franchising System, Inc.",54544.0
Shoppes @ Hickory,54453.0
Jeep,54405.0
"University Commons (Burlington, NC)",54344.0
"Jimmy John's Franchise, LLC",54274.0
GMC,54107.0
Brier Creek Commons,53984.0
Elizabeth City State University,53570.0
Amazon Warehouses,52997.0
Gulf Oil LP,52600.0
IMAX Corporation,52452.0
GSO,52176.0
"Marriott International, Inc.",52168.0
Harrah's Cherokee Casino Resort,52023.0
Montcross,51642.0
High Point University,51380.0
Northlite Center,51369.0
Materials Recovery Facilities,51166.0
Hilton Worldwide Holdings Inc.,51045.0
Independence Mall North Carolina,51043.0
SAMS CLUB - SAMS CLUB #4946,50728.0
Cricket Wireless,50017.0
Shops at Olive Place,50008.0
"Valvoline, Inc.",49442.0
Christian Dior SE,49335.0
Sebago,49250.0
"Raymond James Financial, Inc.",48893.0
The Cheesecake Factory Incorporated,48834.0
Charlotte FC - Bank of America Stadium,48766.0
Hendrick Automobile Group,48722.0
EPR Properties,48673.0
Capital Bank Financial Corp.,48482.0
Pet and Pet Supplies Stores,48178.0
Nutrena,48054.0
INGLES - INGLES,47921.0
"Retail Properties of America, Inc.",47752.0
Red Robin Gourmet Burgers Inc.,47290.0
Home2 Suites,47157.0
Food Distribution Centers,47131.0
"Hillside Plaza (Forest City, NC)",47066.0
Victoria's Secret & Co.,46997.0
East Coast Wings + Grill,46877.0
The Allstate Corporation,46870.0
Panda Express,46777.0
"Best Western International, Inc.",46659.0
Afton Ridge Shopping Center,46380.0
StoneCrest at Piper Glen,46347.0
Fifth Third Bancorp,46316.0
Smartstyle  Family Hair Salons,46243.0
Levcor,46152.0
Business Centers,46010.0
Bank of America Stadium,45748.0
Wilkes Plaza,45552.0
Bike Shops,45451.0
"Sewing, Needlework, and Piece Goods Stores",45405.0
Kampgrounds of America,45067.0
Cobb Corners,45018.0
"Hibbett Sports, Inc.",44787.0
Biltmore Park Town Square,44756.0
Comfort Inn,44474.0
Fayetteville State University,44364.0
Tobacco Stores,44297.0
Lenoir-Rhyne University,44244.0
Lexington Realty,44059.0
"First Watch Restaurants, Inc",44008.0
The Arboretum Shopping Center,43972.0
Aloft Hotels,43813.0
All Other Health and Personal Care Stores,43785.0
Rivers Edge Center,43591.0
Banfield Pet Hospital,43460.0
Mars Hill University,42926.0
Shoppes at Rivercrest,42686.0
"Sally Beauty Holdings, Inc.",42673.0
SAMS CLUB - SAMS CLUB #6443,42600.0
Huffman Mill Plaza,42163.0
Floor Covering Stores,42161.0
INGLES - INGLES GAS EXPRESS,41904.0
SpringHill Suites by Marriott,41894.0
"Liberty Square (Thomasville, NC)",41858.0
Wingate University,41826.0
Family Clothing Stores,41801.0
The Salvation Army,41648.0
"American Eagle Outfitters, Inc.",41606.0
American Asset Corporation,41587.0
"Petco Animal Supplies, Inc.",41543.0
"Saul Centers, Inc.",41521.0
First Horizon Bank,41377.0
Taxi Service,41336.0
"Honda Motor Co., Ltd.",41253.0
McAlister's Deli,41235.0
Daimler AG,41158.0
"Tesla Motors, Inc.",41016.0
Musical Instrument and Supplies Stores,40956.0
"The Fresh Market, Inc.",40811.0
Short Stop,40635.0
Catawba College,40595.0
Hilton International,40585.0
"Rue21, Inc.",40462.0
Forever 21,40422.0
Whataburger,40260.0
Matthews Township Shopping Center,40148.0
Hanes Point,39984.0
"Cava Group, Inc.",39927.0
Kay Jewelers,39915.0
Freedom Town Center,39723.0
Asheville Outlets,39668.0
Harrah's Cherokee Valley River Casino & Hotel,39615.0
Fuel Dealers,39410.0
TravelCenters of America LLC,39332.0
"Western Plaza Shopping Center (Jacksonville, NC)",39254.0
AJC Garfunkel,39222.0
Solid Waste Landfill,39194.0
Pizza Inn,39144.0
Krispy Krunchy Chicken,39071.0
American Gem Society,38952.0
Days Inn,38943.0
American Animal Hospital Association (AAHA),38743.0
Amusement and Theme Parks,38607.0
Campbell University,38503.0
"Walmart (Lexington, NC)",38470.0
"CrossFit, Inc.",38437.0
"Martin Marietta Materials, Inc.",38430.0
Beaver Creek Crossings,38405.0
Carolina Ale House,38280.0
SAMS CLUB - SAMS CLUB #6355,38274.0
LensCrafters,37962.0
Southeastern Baptist Theological Seminary,37762.0
Aeropostale Inc.,37572.0
Residence Inn by Marriott,37490.0
Starwood Retail Partners,37348.0
Rainbow Shops,37268.0
Crunch Fitness,37145.0
The ODP Corporation,37074.0
Nissan Motor Co. Ltd.,36889.0
Clayton Town Center,36868.0
Smithfield Plaza,36651.0
Catawba River,36629.0
Sheraton Hotels & Resorts,36611.0
"East Park Plaza (Garner, NC)",36454.0
Randolph Mall,36269.0
Waynesville Commons,36258.0
Cherokee Cellars Winery,36183.0
The Timken Company,36147.0
Vetco Clinics,36094.0
